3D holography,"Realität: Das Hologramm der Träume.","Karl Heinz Karius"
Medicine,"Die Reichen haben Medizin, die Armen Gesundheit.","Sprichwort"
Memory card,"Digitalkamera, eine 512 Megabyte-Speicherkarte und ein Computer mit Gigabytes Speicher, auf den wir Fotos übertragen können … Oh ja ... Heute abends werden wir eine Menge Fotos machen!","El Goonish Shive, Webcomic"
Merchants,"Der Kaufmann hat in der ganzen Welt dieselbe Religion.","Heinrich Heine"
Metal,"Alles, was Gold ist, glänzt nicht. Die sanfte Strahlung ist dem edelsten Metalle eigen.","Friedrich Wilhelm Nietzsche"
Metal,"Begeisterung ist ein Feuer, das die Innenwelt in Fluss erhält. Aber Vernunft muss ihr die Gussform richten, in die sich das geschmolzene Metall ergießt.",""
Metal,"Unrecht ist gegraben in Metall. Wohltat in die Flut geschrieben.","unbekannt"
Microchip,"Wir bauen die größten Mikrochips der Welt!","Indiana Jones"
Microprocessor,"Wirklich großartige Blogs ersetzen keine großartigen Mikroprozessoren. Großartige Blogs ersetzen keine großartige Software. Sehr viele Blogs ersetzen auch nicht sehr viel Umsatz.","Larry Ellison"
Microwave oven,"In Dänemark ist eine tolle Erfindung gemacht worden: Ein Frauen-Computer. Ich dachte, das gibt es schon lange und heißt Mikrowelle.","Harald Schmidt"
Milk,"Aus den Birnbaum kann man nicht Milch melken.","Sprichwort"
Milk,"Eine Geliebte ist Milch, eine Braut Butter und eine Frau Käse.","Deutsches Sprichwort"
Milk,"Schwarze Kühe geben auch weiße Milch.","Deutsches Sprichwort"
Missile,"Der moderne Mensch ist leicht zu lenken, aber nur schwer zu etwas zu bewegen.",""
Missile,"Die ""3-Minuten-Raketen“ dienen lediglich der schnelleren Völkerverständigung über die Grenzen menschlicher Existenz hinaus…",""
Missile,"Die Kommunisten haben den bösen Blick; überall wo sie länger hinschauen, steht bald eine amerikanische Rakete...","Elmar Kupke"
Missile,"Reagan hat mit 79 Jahren die Alleingewalt über die Atom-Raketen. Mein Opa ist auch 79, und den lassen wir nicht mal an die Fernbedienung für den Fernseher ran.","Dweezil Zappa"
Mithril,"Willst du was gelten, dann mach dich selten.","Sprichwort"
Modesty,"Bescheidenheit ein schönes Kleid.","Sprichwort"
Modesty,"Bescheidenheit ist eine Dattel, die an der Palme des Reichtums selten reif wird.","Ägyptisches Sprichwort"
Modesty,"Bescheidenheit ist eine Zier, doch weiter kommt man ohne ihr.","Deutsches Sprichwort"
Modron,"Weil Gott nicht überall sein konnte, schuf er die Mutter.","Arabisches Sprichwort"
Modular space station,"Im Februar 1986 startete die Sowjetunion die erste modulare Raumstation: ""Mir"" (""Frieden"").","National Geographic"
Molotov cocktail,"Ein Brand alleine brennt nicht lange.","Sprichwort"
Money,"Das Geld, das man besitzt, ist das Mittel zur Freiheit, dasjenige, dem man nachjagt, das Mittel zur Knechtschaft.","Jean-Jacques Rousseau"
Money,"Geld haben ist schön, solange man nicht die Freude an Dingen verloren hat, die man nicht mit Geld kaufen kann.","Salvador Dali"
Money,"Geld stinkt nicht.","Titus Flavius Vespasianus"
Money,"Wenn man arbeitet, hat man keine Zeit, Geld zu verdienen.","Jüdisches Sprichwort"
Monopoly,"Eine Cola bitte. -Ist Pepsi ok? -Ist Monopoly Geld ok?","unbekannt"
Moon lander,"""Der Adler ist gelandet"" (nach dem Aufsetzen der Mondlandefähre ""Eagle"")","Neil Armstrong"
Moss,"Auf einem neuen Dache wächst kein Moos.","Sprichwort"
Moss,"Auf jede alte Sache wächst Moos.","unbekannt"
Mountain,"Der Berg hat eine Maus geboren.","Französisches Sprichwort"
Mountain,"Je höher der Berg, je tiefer das Thal.","Sprichwort"
Mountain,"Wer steilen Berg erklimmt, hebt an mit ruhigem Schritt.","William Shakespeare"
MP3 player,"Ey, Biomüll! Mein MP3-Player ist kaputt. Strick mir 'nen neuen!","unbekannt"
MS-DOS,"Das ist das Ende einer Ära. (...) Der ursprüngliche PC basierte auf MS-DOS. Und selbst als Windows kam, so lieferte doch MS-DOS die Grundlage. Mit Windows XP ist das zu Ende.","Bill Gates"
Mummy,"Obwohl der Ritus der Mumifizierung eng mit dem alten Ägypten in Verbindung gebracht wird, da selbst in der Antike ägyptische Mumien wohlbekannt waren, sind die ältesten Mumien jene der südamerikanischen Chinchorros, die in den Anden lebten.",""
Murder,"Die schlimmste Kriminalstatistik gab es zu Kains Zeiten; auf einen Schlag löschte der Bursche ein Viertel der Menschheit aus.","Gabriel Laub"
Murder,"Ein Mord aus Rache, ein Mord aus Haß ist kein Beweis für Kraft.","John Knittel"
Murder,"Es bleibt kein Mord verschwiegen.",""
Murder,"Unter Feinden wird kein Mord begangen.","Sprichwort"
Murder,"Viel Wort,ein halber Mord.",""
Mushroom,"Erfahrungen sammelt man wie Pilze: einzeln und mit dem Gefühl, dass die Sache nicht ganz geheuer ist.","Erskine Caldwell"
Mushroom,"Kein Pilz ist klein genug, um nicht auch ein Glückspilz zu sein.","unbekannt"
Mushroom,"Mit Dichtern, Malern und Musikern ist es wie mit den Pilzen: Für einen guten zehntausend schlechte.",""
Music,"Besser das Brummeisen gespielt, als gar keine Musik.","Deutsches Sprichwort"
Music,"Man muß die Musik des Lebens hören. Die meisten hören nur die Dissonanzen.","Theodor Fontane"
Music,"Wo sauer Bier ist, das muß Musik sein.","Sprichwort"
Necromancer,"Des einen Tod, des andern Brot.","Sprichwort"
Necromancer,"Die Toten wachen wie zu allen Zeiten über die Lebenden!","Adel verpflichtet"
Necromancer,"Es gibt wohl viele, die Liebe für ihre Toten empfinden, aber wenige sind, die es verstehen, ihre Toten auf die rechte Weise zu lieben.","Lü Bu We"
Necromancer,"Nur die Toten haben das Ende des Krieges gesehen.","Plato"
Needle and thread,"Wenn der Faden abgelaufen ist,\nsucht man nach der Nadel","Spanisches Sprichwort"
Neon,"Physik fragt sich nicht, was besser ist: das Proton oder Neutron, Baryon oder Lepton, Helium oder Neon, der Leiter oder Nichtleiter. Das sind ganz einfach Eigenschaften der Natur.","Isaac Abella"
Neon lamp,"Heutzutage wird das Licht der Wahrheit ausschließlich von Neonlampen gespendet.","Alexander Eilers"
Nile,"Der Nil ist der einzige Fluss in Nordafrika, dessen Quelle in einer trockenen Wüste entspringt. Im Niltal wurden alle Städte des antiken Ägyptens angesiedelt und auch heute noch leben der Großteil der modernen Ägypter dort.",""
Nuclear bomb,"Ich weiß nicht was erschreckender ist, dass wir ne Kernwaffe verloren haben oder dass es so oft vorkommt, dass es einen Begriff dafür gibt.","Operation: Broken Arrow"
Nuclear bomb,"Massenvernichtungswaffen: Krebs, Kredite, Kfz und Kernkraftwerke - wozu noch Krieg?","Guy Néchois"
Nuclear bomb,"Was mich erschreckt, ist nicht die Zerstörungskraft der Bombe, sondern die Zerstörungskraft, die aus dem Herzen kommt.","Albert Einstein"
Nuclear power reactor,"Traue niemandem, der dir vor kurzem noch sagte, dass Atomkraftwerke sicher sind.","Jürgen Polz"
Octopus,"Schreckliche Ungeheuer verbergen sich in schönen Fellen.","Francesco Petrarca"
Oil,"Schade dass das Erdöl bald alle ist.",""
Oil,"Um es im Leben zu etwas zu bringen, muß man früh aufstehen, bis in die Nacht arbeiten - und Öl finden.","Jean Paul Getty"
Oil,"Wo euer Schatz ist, da wird auch euer Herz sein.","Lukas 12,34"
Orc,"Waagh!","Orkischer Kriegesschrei"
Order,"Änderung macht oft gute Ordnung.","Sprichwort"
Order,"Aufgabe der Naturwissenschaft ist es nicht nur die Erfahrung zu erweitern, sondern in diese Erfahrung eine Ordnung zu bringen.","Niels Bohr"
Order,"Die Basis einer gesunden Ordnung ist ein großer Papierkorb.","Kurt Tucholsky"
Order,"Drei Dinge gründen des Lebens Glück: Maß, Ordnung und Geschick.","Deutsches Sprichwort"
Order,"Humanität besteht darin, daß niemals ein Mensch einem Zweck geopfert wird.","Albert Schweitzer"
Order,"Ordnung ist etwas Natürliches. Das Nützliche ist das Chaos.","Arthur Schnitzler"
Oysters,"Ein Optimist ist ein Mensch,\nder ein Dutzend Austern bestellt,\nin der Hoffnung, sie mit der Perle,\n die er darin findet, bezahlen zu können.","Theodor Fontane"
Paladin,"Laß sir Leben und Tod gleich wichtig sein, und dein Verstand wird ohne Angst sein.","Laotse"
Palm,"Ist Palmsonntag hell und klar, so gibtäs ein gut und fruchtbar Jahr.","Bauernweisheit"
Paper,"Drei Dinge erhalten alle Welt: Papier, Feder und Geld.","Sprichwort"
Paper,"Feuer kann man nicht in Papier einwickeln.","Sprichwort"
Papyrus,"Die Ägypter erfanden den Papyrus vor 4000 Jahren. 2500 Jahre lang war Papyrus der einzige beschreibbare Schriftträger.",""
Parking meter,"Verschwende kein Kleingeld für die Parkuhr, das brauchen wir für die Spielautomaten!","Tron (Film)"
Party,"Der Mensch lebt nicht vom Brot allein, es sollte auch Bier und Wein dabei sein.","unbekannt"
Personal computer,"Ich denke, dass es einen Weltmarkt für vielleicht fünf Computer gibt.","Thomas Watson"
Pharaon,"Die alten Ägypter sahen im Pharao den Sohn des Sonnengottes Ra. Sie mussten den Pharao versorgen und ihn unter allen Umständen beschützen. Sollten sie diese Aufgabe nicht erfüllen, so würden die Götter Ägypten mit schrecklichen Katastrophen heimsuchen.",""
Philosophers stone,"Der Optimismus ist der wahre Stein der Weisen, der in Gold verwandelt, was immer er berührt.","Edwin Chapin"
Philosophers stone present,"Der Optimismus ist der wahre Stein der Weisen, der in Gold verwandelt, was immer er berührt.","Edwin Chapin"
Phoenix,"Ich kann nicht brechen das ist eben das Schlimme. Ich zerbreche nie, bin der prädestinierte Phönix.","Franziska zu Reventlow"
Phoenix,"Idole und Ideen sind wandelbar. Ideale allein sind unsterblich.","Ottokar Kernstock"
Phoenix,"Nicht aus jeder Asche fliegt ein Phönix auf.","Jean Paul"
Phoenix,"Verbrennen musst du dich wollen in deiner eignen Flamme: wie wolltest du neu werden, wenn du nicht erst Asche geworden bist!","Friedrich Nietzsche"
Phone,"""Und wann rufst du mich an?""\n ""Wenn dein Telefon klingelt!""","Be cool"
Photo,"Ein gutes Foto ist ein Foto, auf das man länger als eine Sekunde schaut.","Henri Cartier-Bresson"
Photocopier,"Fragt der neue Praktikant im Verteidigungsministerium: ""Wo ist denn der Kopierer?""\n""Der ist gerade auf Truppenbesuch in Afghanistan.""","unbekannt"
Pie,"Dem besten Bäcker verdirbt ein Kuchen.","Sprichwort"
Pie,"Es ist teueres Brot, das einen Kuchen.","Sprichwort"
Pie,"Man soll Gott erst für das Brot danken, ehe man um den Kuchen bittet.","Sprichwort"
Pirate,"Auge um Auge, Zahn um Zahn.","Exodus 21,24"
Pirates,"Es ist besser, ein Pirat zu sein als der Navy beizutreten.\nLasst uns Piraten sein.","Steve Jobs"
Pirates,"Ich bin Guybrush Threepwood, ein mächtiger Pirat.","Guybrush Threepwood"
Plankton,"Die Natur ist mit wenigem zufrieden.","Sprichwort"
Plasma,"Die kleinen Sterne scheinen immer, während die große Sonne oft untergeht.","Sprichwort"
Plasma,"Preise das gleißende Plasma im Kern, den flammenden Tod halte uns fern.","Katechismus des Ingenieurs"
Plasma TV,"Kauf einem Mann niemals einen Plasmafernseher, solange du noch nicht mit ihm verheiratet bist. Viele Männer brauchen nämlich gar keine Freundin mehr, wenn sie erst einen Plasmafernseher haben.","Greg Behrendt"
Plutonium,"Natur ist weder Kern noch Schale, alles ist sie mit einem Male.","Max Planck"
Poison,"Der Zweifel ist eines der billigsten und daher gefährlichsten Rauschgifte.","Hans Krailsheimer"
Poison,"Gift heilt Gift.","Sprichwort"
Poison,"Gift in den Händen eines Weisen ist ein Heilmittel, ein Heilmittel in den Händen des Toren ist Gift.","Giacomo Casanova"
Poison,"Gift kann nicht mehr als töten.","Sprichwort"
Poison,"Mischt der Bauer Gift zur Butter, ist sie für die Schwiegermutter.","unbekannt"
Poisoned weapon,"Frauen und Wein haben ihr eigenes Gift.","aus Frankreich"
Poisoned weapon,"Wer Gift einschenkt, der wird es auch austrinken.","Sprichwort"
Polaroid,"Das ist der Vorteil von Polaroid: Nix Negative und Abzug immer nur eins.","Avanti, Avanti"
Policeman,"Der Deutsche denkt, und die Polizei lenkt.","Deutsches Sprichwort"
Policeman,"Der Gehorsam heuchelt Unterordnung, so wie die Angst vor der Polizei Anständigkeit heuchelt.","George Bernard Shaw"
Potion,"Arznei und Juristen geben guten fetten Brei.","Sprichwort"
Potion,"Arznei und Wein wollen zur rechten Zeit genossen sein.","Sprichwort"
Potion,"Ich will Dir einen Liebestrank zeigen ohne Drogen, ohne Wunderkraut, ohne irgendeiner Giftmischerin Zauberspruch: Wenn Du geliebt werden willst, liebe!",""
Potion,"Man genoß das Leben mit langsamen, kleinen Zügen wie einen köstlichen Trank, und mit desto reinerem Wohlbehagen.","Novalis"
Potion,"Mäßigkeit ist die beste Arznei.","Sprichwort"
Pottery,"Der Krug geht so lange zum Brunnen, bis er bricht.","Deutsches Sprichwort"
Prayer,"Beten ist nicht bitten. Es ist ein Sehnen der Seele.","Mahatma Gandhi"
Prayer,"Danksagung erhebt, Gebet erniedrigt.","Walther Rathenau"
Prayer,"Das Gebet erfrischt die Hoffnung des Herzens.","J. W. von Goethe"
Prayer,"Ein schlechter Gebet ist schlimmer, als zehn Flüche.","Sprichwort"
Prayer,"Gebet ist des Himmels Schlüssel.","Sprichwort"
Prayer,"Viel Gebet, wenig Werke.",""
Pride,"Wer im Kopf hat leeres Stroh, ist gemein und stolz und roh.","Bauernweisheit"
Pride,"Zu viel Demut ist halber Stolz.","Sprichwort"
Pride,"Zuviel Demut ist Hochmut.",""
Pride,"Zwischen Hochmut und Demut steht ein drittes, dem das Leben gehort, und das ist der Mut.","Theodor Fontane"
Priest,"Das Einkommen der Priester gibt Gott, und der Teufel verzehrt es.","Sprichwort"
Priest,"Das Volk beurteilt die Macht Gottes nach der Macht seiner Priester.","Napoleon"
Princess,"Baumwolle ist Königin.","Sprichwort"
Princess,"Selbst Bienen haben ihre Königin.","Chinesisches Sprichwort"
Puzzle,"Wir spielen mit, und erkennen nicht viel, das Leben, ist ein Puzzle-Spiel.","Fuat Kaya"
Quest,"Ich weiß wohl was ich fliehe, aber nicht was ich suche.","Michel de Mantaigne"
Quicksilver,"Der Geist der Frauen ist vob Quecksilber, ihr Herz von Wachs.","Chinesisches Sprichwort"
Ra,"Die oberste Gottheit des alten Ägyptens. Sein Name bedeutet ‚Sonne‘.",""
Radar,"Auch geistige Tiefflieger wollen ja nur den Radarfallen entkommen.",""
Radar,"Hess war bisher nicht auf meinem Radar.","Fritz Wiedemann"
Radar,"Radar ist die Kunst, das Echo ins richtige Lot zu bringen.","Werner Mitsch"
Radar,"Wie Radar den Nebel durchdringt, so hilft der Glaube die Dinge auf eine Entfernung zu erkennen, die für das Auge längst zu groß ist.",""
Radiation,"Auch bleierne Lider schützen nicht vor jeder Strahlung.",""
Radiation,"Ein Strahl Sonne kann mehr wecken, als tausend Nächte zu ersticken vermögen.","Carl Ludwig Schleich"
Radiation,"Früher war die Naturwissenschaft ein Mittel zur Abwendung von Naturkatastrophen. Heute zur Anwendung.","Jeannine Luczak"
Radio telescope,"""Warum gerade wir?""\n""Es ist das größte Radioteleskop der südlichen Hemisphäre.""\n""Und warum steht es dann auf einer Schafweide?""","The Dish"
Radiowave,"Die Gesellschaft ist eine Welle. Sie selbst bewegt sich vorwärts, nicht aber das Wasser, woraus sie besteht.","Ralph Waldo Emerson"
Radiowave,"Du sollst der Herrscher der Galaxis sein und kein Radio.","Ed Wood"
Radiowave,"Gibt es denn eine Welle, die für sich allein ist im Weltmeer?","Das fünfte Element"
Radiowave,"Was sollen wir denn mit Radiowellen anfangen? Vielleicht wollen die mit uns telefonieren.",""
Raft,"Die Lehre gleicht einem Floß, das man benutzt, um über einen Fluss ans andere Ufer überzusetzen, das man aber zurück lässt und nicht mehr mit sich herumschleppt, wenn es seinen Zweck erfüllt hat.","Buddhistische Weisheit"
Rat,"Der Versuch macht klug! Leider nützt das der Laborratte wenig!","Christoph Mittler"
Rat,"Einen Fisch muß man nicht fragen, eas auf dem Lande geschieht, die Ratte nicht, wie es im Wasser aussieht.","Sprichwort"
Rat,"Es gibt zwei Sorten Ratten: Die hungrigen und satten.","Heinrich Heine"
Rat,"Wenn eine Ratte sterben will, beißt sie die Katze in den Schwanz.","Chinesisches Sprichwort"
Reed,"Das Vertrauen ist eine zarte Pflanze. Ist es zerstört, so kommt es sobald nicht wieder.","Otto von Bismarck"
Reed,"Wo es nicht feucht ist, wächst kein Schilf.","Sprichwort"
Religion,"Die Religionen sind wie die Leuchtwürmer: um zu leuchten, bedürfen sie der Dunkelheit.","Arthur Schopenhauer"
Religion,"Die Zehn Gebote sind deswegen so kurz und logisch, weil sie ohne Mitwirkung von Juristen zustande gekommen sind.","Charles de Gaulle"
Religion,"In zwei Dingen liegt die ganze Religion: Gehorsam gegen Gott und Liebe gegen Menschen.","Sprichwort"
Religion,"Religion - die Versicherung im Diesseits gegen Feuer im Jenseits.","Robert Lembke"
Religion,"Wissenschaft ohne Religion ist lahm, Religion ohne Wissenschaft ist blind.","Albert Einstein"
Resurrection,"Auferstehung ist unser Glaube, Wiedersehen unsere Hoffnung, Gedenken unsere Liebe.","Aurelius Augustinus"
Resurrection,"Der Frühling ist eine echte Auferstehung, ein Stück Unsterblichkeit.","Henry David Thoreau"
Resurrection,"Ich bin die Auferstehung und das Leben.","Johannes, 11,25"
Robot,"Äh... Falls ihre Bemerkung auf Sexualität hinzielt. Ich bin voll funktionsfähig programmiert auf multiple Techniken.","Data"
Robot,"Der Professor erfand einen so klugen Roboter, dass man ihn entlassen und seinen Lehrstuhl dem Roboter übergeben konnte.","Janusz Oseka"
Robot,"Ein Roboter muss seine Existenz beschützen, solange dieser Schutz nicht mit Regel Eins oder Zwei kollidiert.","Isaac Asimov"
Rocket,"Kratz die Rakete - und die Romantik kommt zum Vorschein!",""
Rocket,"Wer wagt, gewinnt.","Sprichwort"
Rock-n-roll,"Der Ton macht die Musik.","Sprichwort"
Rogue,"Der Reiche ist entweder selbst ein Gauner oder der Erbe eines Gauners.","Hieronimus"
Rogue,"Diebe und Lügner wohnen unter einem Dache.","Sprichwort"
Rope,"Die Gewohnheit ist ein Seil.\nWir weben jeden Tag einen Faden,\nund schließlich können wir es nicht mehr zerreißen.","Thomas Mann"
Rum,"So geht es mit Tabak und Rum: erst bist du froh, dann fällst du um.","Wilhelm Busch"
Rum present,"So geht es mit Tabak und Rum: erst bist du froh, dann fällst du um.","Wilhelm Busch"
Russian roulette,"Des einen Glück, des andern Unglück.","Sprichwort"
Sacrifice,"Das erste Opfer des Krieges ist die Wahrheit.","Hiram Johnson"
Sacrifice,"Nicht wir – unsere Nachkommen sind die Opfer unserer Taten.",""
Sacrifice present,"Beten ohne Andacht heißt dem Teufel ein Opfer gebracht.","Deutsches Sprichwort"
Sacrifice present,"Gehorsam ist besser als Opfer.","1 Sam. 15,22"
Sail,"Wir können den Wind nicht ändern,\naber die Segel anders setzen.","Aristoteles"
Sailing raft,"Auf jedem Schiff, ob's dampft, ob's segelt,\ngibt's einen, der die Sache regelt.","Seefahrerspruch"
Sailing ship,"Nicht der Wind, sondern das Segel bestimmt die Richtung.","Chinesisches Sprichwort"
Salt,"Alte Geiß leckt auch gern Salz.","Deutsches Sprichwort"
Salt,"Ein bißchen Eifersucht ist das Salz in der Suppe.\nAber man kann bekanntlich eine Suppe auch versalzen.","Alberto Sordi"
Salt,"Ein Ei ohne Salz schmeckt weder wohl noch übel.","Sprichwort"
Salt,"Fett und Salz sind das beste Schmalz.","Deutsches Sprichwort"
Saltpetre,"Humor ist das Salz der Erde.","Karel Capek"
Salvation,"Der Tod ist das Tor zum Licht am Ende eines mühsam gewordenen Weges.","Franz von Assisi"
Salvation,"Sein Beutel ist wie die Hölle, was hineinkommt, hat keine Erlösung mehr.","unbekannt"
Salvation_lost,"Der Tod ist das Tor zum Licht am Ende eines mühsam gewordenen Weges.","Franz von Assisi"
Salvation_lost,"Sein Beutel ist wie die Hölle, was hineinkommt, hat keine Erlösung mehr.","unbekannt"
Sand,"Ein Auge, des Staub gewohnt, verträgt auch bald Sand.","Sprichwort"
Sand,"Wer den Kopf steckt in den Sand, wird am Hinterteil erkannt!","unbekannt"
Sand,"Wer einem Frauenwort vertraut, der hat auf Sand gebaut.","Sprichwort"
Sand,"Wir dürfen jetzt nur nicht\nden Sand in den Kopf stecken.","Lothar Matthäus"
Sarcophagus,"Antike ägyptische Sarkophage wurden aus Holz gefertigt und waren mit Bronze oder Goldblättern überzogen. Der Sarkophag von Tutanchamun wurde aus reinem Gold gefertigt und enthielt eine Mumie, die eine Goldmaske mit dem Abbild des Pharaos trug.",""
Satellite,"Da oben schwebt ein Satellit, der nur darauf wartet, allen mitzuteilen, wann und wo ich gerade auf dem Lokus sitze. Und das nennst du Glück.","Zwei bärenstarke Typen"
Satellite,"Zusammen ist man stark.","Sprichwort"
Scarabeus,"Eines der ehrwürdigsten Symbole des alten Ägypten. Ebenso wie die Sonne, die sich dem Himmel entlang bewegt und Hitze und Wärme abgibt und dadurch die Grundlage allen Lebens und für Wachstum im ganzen Land schafft, so rollt der Skarabäus seinen Ball mit E",""
Scientist,"Das Maß der Dinge zu finden, ist die feinste Wissenschaft.","Pindar"
Scientist,"Erfahren ist die Mutter der Wissenschaft.","Sprichwort"
Scientist,"Für den gläubigen Menschen steht Gott am Anfang, für den Wissenschaftler am Ende aller seiner Überlegungen.","Max Planck"
Scientist,"Heutzutage haben die Wissenschaftler mehr Fantasie als die Verfasser von Kriminalromanen.","Werner Heisenberg"
Scientist,"Wissenschaftler sind Beamte, die abends um sechs Uhr ihre Probleme vergessen können. Forscher können das nicht.","Adolf Friedrich Johann Butenandt"
Scientist,"Zwei Dinge sind übel: ein König ohne Gnade und ein Geistlicher ohne Wissenschaft.","Deutsches Sprichwort"
Scorpion,"Wer etwas Kleines unterschätzt, hat noch nie auf einen Skorpion getreten.","unbekannt"
Scorpion,"Wer will Blumen pflucken, hüte sich vorm Stachel des Skorpion.","Sprichwort"
Scroll,"Geschichte schreiben ist eine Art, sich das Vergangene vom Halse zu schaffen.","J. W. von Goethe"
Scroll,"Jeder Mann ist ein Manuskript, das erst korrigiert werden muss.","Katharina die Große"
Scroll,"Manuskripte vermodern im Schranke oder reifen darin.","Marie Freifrau von Ebner-Eschenbach"
Sea,"Alle Flüsse laufen ins Meer.","Sprichwort"
Sea,"Die Frau, das Feuer und das Meer sind drei Übel schwer.","Sprichwort"
Sea,"Schwer zu finden wie eine Nadel im Meer.","Fernöstliche Weisheit"
Sea launch,"Sea Launch ist ein Raumfahrt-Unternehmen, das Raketenstarts von einer speziell adaptierten Bohrplattform in Äquatornähe vermarktet","Wikipedia"
Sea_lost,"Niemand hat sich übers Meer zu beklagen,\nder zum zweiten mal Schiffbruch litt.","Sprichwort"
Sebek,"Der Gott des Wassers und der Nilflut des alten Ägyptens, der mit dem Kopf eines Krokodils dargestellt wurde. Man glaubte, dass er die Mächte der Dunkelheit vertrieb und der Verteidiger der Götter und Menschen war.",""
Secret door,"Wo kein Tür ist, da ist auch kein Eingang.","Hermann Stehr"
Seeds,"Die Erfahrungen sind wie die Samenkörner, aus denen die Klugheit emporwächst.","Konrad Adenauer"
Seeds,"Die Ernte hängt von der Saat ab.","Deutsches Sprichwort"
Seeds,"Frost und Schnee thut Saat und Weinstock weh.","Sprichwort"
Seeds,"Stärke wächst nicht aus körperlicher Kraft - vielmehr aus unbeugsamen Willen.","Mahatma Gandhi"
Seeds,"Wer die Zeit der Saat verschläft, braucht in der Ernte nicht zu schwitzen,","Bauernweisheit"
Semiconductor,"Die nächste große Explosion wird stattfinden, wenn Genetik und Computer verbunden werden. Ich spreche von einem organischen Computer, über biologische Sustanzen, die wie ein Halbleiter funktionieren.","Alvin Toffler"
Sex,"Nein: orales Verhütungsmittel.",""
Sex,"Sex ist nur schmutzig, wenn er richtig gemacht wird.","Woody Allen"
Sex,"Wissenschaft ist wie Sex. Manchmal kommt etwas Sinnvolles dabei raus, das ist aber nicht der Grund, warum wir es tun.","Richard P. Feynman"
Shadow,"Du sollst dich der Sonne zuwenden, nicht dem Schatten.","Friedrich Nietzsche"
Shadow,"Eine Fliege hat auch ihren Schatten.","Sprichwort"
Shadow,"Hohe Bäume werfen lange Schatten.","Sprichwort"
Shells,"Witz ist Schaum an der Oberfläche, Humor die Perle aus der Tiefe.","Peter Sirius"
Shells,"Zünde ein Licht an, suche eine ganze Woche und du wirst etwas finden, was eine Muschel wert ist.","unbekannt"
Shelter,"Es wäre besser an der Verhütung des Elends zu arbeiten, als die Zufluchtsorte für die Elenden zu vermehren.","Denis Diderot"
Ship,"Aus dem Boot steigt man ins Schiff.","Sprichwort"
Ship,"Wer die Kinder verzärtelt, setzt sie ins leichte Schiff.","Deutsches Sprichwort"
Ship,"Zwischen Ansetzen und Trinken kann ein Schiff versinken.","Sprichwort"
Shopping,"Teuer einkaufen, wenn's wohlfeil, und wohlfeil verkaufen, wenn's teuer ist, macht mit Ehren reich.","Altes deutsches Sprichwort"
Shopping cart,"Die höchsten Kilometerkosten von allen Typen hat immer noch ein Einkaufswagen im Supermarkt.","Lothar Schmidt"
Silver,"Besser ein guter Freund, als Silber und Gold.","Sprichwort"
Silver,"Reden ist Silber. Ausreden ist Gold.","unbekannt"
Silver,"Wer mit Gold und Silber ficht, fehlt des Sieges nicht.","Sprichwort"
Sin,"Alle Furcht ist Sünde und stammt aus der Sünde.","Albert Gobat"
Sin,"Christlich ist es, Sünde hassen, göttlich aber, Sünd' erlassen.","unbekannt"
Sin,"Die Arznei macht kranke, die Mathematik traurige und die Theologie sündhafte Leute.","Martin Luther"
Sin,"Die größte Sünde gegen den menschlichen Geist ist, Dinge ohne Beweis zu glauben.","Thomas Huxley"
Sin,"Es gibt keine Sünde außer Dummheit.","Oscar Wilde"
Sin,"Kein Baum ohne Schatten, keine Sünde ohne Reue.","Sprichwort"
Sinew,"Von schlaffer Sehne fliegt kein Pfeil.","Sprichwort"
Skin,"Ich war nicht wirklich nackt.\nIch hatte nur keine Kleider an.","Josephine Baker"
Skyscraper,"Und wo die Herzen weit sind, da ist auch das Haus nicht zu eng.","J. W. von Goethe"
Sloth,"Faulheit ist, wenn jemand mit dem Cocktailbecher in der Hand auf das nächste Erdbeben wartet.","Danny Kaye"
Sloth,"Fleiß für die falschen Ziele ist noch schädlicher als Faulheit fur die richtigen.","Peter Bamm"
Sloth,"Müßiggang ist aller Laster Anfang","Sprichwort"
Sloth,"Wer gern arbeitet, dem ist der Müßiggang eine Qual.","Sprichwort"
Smartphone,"Definition: 'Dienst am Nächsten': Regelmäßige Anrufe zum Smartphone eines (lieben) Menschen, damit dieser fortgesetzt seiner unübertrefflichen Wichtigkeit versichert wird.","Frank Wisniewski"
Smoke_lost,"Kein Rauch ohne Feuer.","Sprichwort"
Snake,"Der Utopist sieht das Paradies, der Realist das Paradies plus Schlange.","Friedrich Hebbel"
Snake,"Drei Dinge zaudern nicht lange: Feuer, Fürst und Schlange.","Deutsches Sprichwort"
Snake,"Ein grauer Aal ist besser, als eine bunte Schlange.","Sprichwort"
Snake,"Seid klug wie die Schlangen und ohne Falsch wie die Tauben.","Bibel"
Snake,"Was ist schon eine Katze, gegen eine Giftschlange im Sack!",""
Snare,"Dornen und Fallstricke sind auf dem Weg des Verkehrten;\nwer seine Seele behütet, bleibt davon fern.","Bibel"
Software,"Man muss sich sehr konzentrieren, wenn man gute Software machen will.","Bill Gates"
Solar cell,"Die deutsche Energiepolitik ist in Solarzellen gefangen.","Siegfried Wache"
Soldier,"Der Gärtner pflanze, der Soldat schanze.","Sprichwort"
Soldier,"Soldaten: Männer, die offene Rechnungen der Politiker mit ihrem Leben bezahlen.","Carl von Clausewitz"
