3D holography,"Noi potremmo essere l'immagine olografica di una struttura a due dimensioni.","Brian Greene"
Hypertext,"E così l'ipertesto mi sembrò immediatamente ovvio, perché le note a piè di pagina erano già idee che si contorcevano lottando per essere libere, come un gatto che cerca di sfuggire dalle tue mani.","Ted Nelson"
Ice,"Arriva l'uomo del ghiaccio!","Mr.Freeze (Batman&Robin)"
Ice,"Sotto la fragile crosta della civiltà si agita il freddo caos. E in certi posti il ghiaccio è pericolosamente sottile.","V for Vendetta (film)"
Ice cream,"...ogni futuro immaginato diventa obsoleto come un gelato che si scioglie mentre uscite dalla gelateria all'angolo.","W.Gibson"
Ice cream,"Ascolterei quando gli altri parlano e con quanto piacere gusterei un buon gelato al cioccolato.","J.Welsh"
Illithid,"Chiunque pensi che l'immaginazione non può uccidere, è uno sciocco.","S.King"
Illithid,"E fare un gioco di prestigio riuscito significa creare una realtà. Una realtà alternativa dove sei tu a stabilire le regole.","G.Carofiglio"
Illusion,"Che cos'è più preciso della precisione? L'illusione.","Marianne Moore"
Illusion,"Il punto è che un vero illusionista tenta di inventare qualcosa di nuovo perché gli altri illusionisti stiano lì a grattarsi la testa.","The Prestige (film)"
Illusion,"Nulla è più facile che illudersi. Perché l'uomo crede vero ciò che desidera.","Demostene"
Internet,"Internet è come un immenso magazzino (di informazioni), ma non può costituire di per sé la memoria.","Umberto Eco"
Internet,"Io ho conosciuto parecchia gente rovinata da Internet e non ancora una sola persona da una rete per farfalle.","Aldo Busi"
Internet,"La rete è innanzitutto un concetto filosofico.","Jovanotti"
Island,"Quando scopri un'isola che non appartiene a nessuno, è tua","Il Piccolo Principe"
Jerky,"Le carni rosse non fanno male alla salute. Le carni blu o verdi, quelle sì che fanno male!","Tommy Smothers"
Jet engine,"Le aquile volano, ma le donnole almeno non vengono risucchiate dai motori a reazione!","John Benfield"
Joker present,"Io credo semplicemente che quello che non ti uccide, ti rende più... strano!","Joker"
Joker present,"L'unico modo sensato di vivere è senza regole.","Joker"
Joker present,"Perché sei così serio?","Joker"
Journalist,"Chi di voi vorrà fare il giornalista, si ricordi di scegliere il proprio padrone: il lettore.","Indro Montanelli"
Journalist,"Disprezzo i cosiddetti giornalisti che si servono dei blog come di una fonte credibile.","Carla Bruni"
Joy,"La gioia è facile ai buoni; sempre si trova sul loro cammino; ed essi non hanno bisogno di andarne alla caccia, di cercarla.","T.F.Powis"
Joy,"Sii pieno di gioia, tutto sommato.","Teresa de Calcutta"
Karaoke,"Cerca di avere sempre una canzone nel tuo cuore, è come il karaoke per le voci nella tua testa.","Robert Fulton Abernethy"
Kevlar,"Il Kevlar è prodotto a migliaia di gradi, e la fibra passa per l'acido solforico. Invece, un ragno tesse la sua tela, che per grammo è più resistente dell'acciaio, a temperatura ambiente in acqua.","William Powers"
Key,"Quando Randolph Carter giunse all'età di trent'anni, perse la chiave della Porta dei Sogni.","H.P.Loveraft"
King,"mondo a te appare semplice, amico mio, ma per chi è re poche scelte sono semplici.","Troy (film)"
King,"Non sarà mai detto ch'io mi sia dannato per l'amore d'alcun figlio di re cristiano.","William Shakespeare"
King,"Numsgil, per diventare Re dei Goblin, uccise Blog, che uccise Unkful, che uccise Viddle, che uccise Loll, che uccise Alrok...","Re dei Goblin (MthG)"
Knife,"Se la tua bocca diventasse un coltello, ti taglierebbe le labbra","Proverbio africano"
Knowledge,"Chi accresce il sapere, aumenta il dolore.","Antico Testamento"
Knowledge,"Gi nasce tutti pazzi. Alcuni lo restano.","S.Beckett"
Knowledge,"Ho 10 anni. Sono a metà della mia vita. E non so nemmeno se sono nero a righe bianche... o bianco a righe nere!","""Madagascar"" (film d'animazione)"
Knowledge,"La verità diverte sempre gli ignoranti.","Philip K. Dick"
Knowledge,"Non bisogna perdersi nel passato né nel futuro.\nIl solo momento in cui si è vivi\no in cui si può toccare la vita,\nè il momento presente, qui e ora.","Thích Nhất Hạnh"
Lair,"Le caverne sono meglio dei tuguri.","V.Hugo"
Lair,"Pillola rossa, resti nel paese delle meraviglie, e vedrai quant'è profonda la tana del bianconiglio.","Matrix (film)"
Laser,"La miglior cosa del futuro è che arriva un giorno alla volta.","Abraham Lincoln"
Laser,"Lascia dormire il futuro come si merita.","Franz Kafka"
Laser,"Nessuno ci prenderà mai sul serio senza un puntatore laser!","Dr. House"
Lava,"Eretico sarà chi accenda il rogo, non già colei che vi brucerà dentro!","William Shakespeare"
Lava,"La falena è innamorata di ciò che fa paura alla tigre. Ma l'uomo – fiera destinata a diventar farfalla angelica – è nello stesso tempo sbigottito e attirato dal fuoco.","Giovanni Papini"
Lava,"Vegliardo gigante sempre desto\nRischiara il cielo col suo fiato ardente.","Ivan Vazon"
Law,"5.Lasciate a se stesse, le cose tendono ad andare di male in peggio.","Legge de Murphy"
Law,"Se c'è una possibilità che varie cose vadano male, quella che causa il danno maggiore sarà la prima a farlo.","Legge de Murphy"
Law,"Se si prevedono quattro possibili modi in cui qualcosa può andare male, e si prevengono, immediatamente se ne rivelerà un quinto.","Legge de Murphy"
Leaves,"Dalle tue foglie giunge un sussurro delicato\nLievi dolci suoni di un tempo dimenticato","Felicia Hemans"
Liana,"Le liane sono abbondanti nelle foreste dell'Amazzonia.",""
Lie detector,"Se cerchi la verità lo champagne è più efficace di qualsiasi macchina della verità. Incoraggia gli uomini a essere spericolati, mentre la macchina della verità è solo una sfida a mentire meglio.","Graham Greene"
Life,"Credo di essere attaccato alla vita perché sto vivendo; ma in realtà non potrebbe darsi che io languisca di quel desiderio perché sono già morto?","Shôhei Ôoka"
Life,"La vita è come una scatola di cioccolatini, non sai mai quello che ti capita!","""Forrest Gump"" (film)"
Life,"L'origine della paura è nel futuro, e chi si è affrancato dal futuro non ha più nulla da temere.","M.Kundera"
Life,"Se il destino di un uomo è annegare, annegherà anche in un bicchier d'acqua.","Proverbio yiddish"
Life,"Vivere insieme è un'arte.","Thích Nhất Hạnh"
Light,"Dove c'è molta luce, l'ombra è più nera.","Goethe"
Light,"I fanali delle strade non ci bastano: noi abbiamo bisogno anche di guardare le stelle.","Jules Bois"
Light,"L'abisso è luce inaccessa...","G.Bruno"
Light,"Nel mezzo del cammin di nostra vita\nmi ritrovai per una selva oscura\nché la diritta via era smarrita.","Dante Alighieri"
Lightbulb,"La luce crede di viaggiare più veloce di tutto, ma si sbaglia.","T.Pratchett"
Lightbulb,"Per quanto sia veloce, la luce scopre sempre che il buio è arrivato prima di lei, e l'aspetta.","T.Pratchett"
Limestone,"È una città che, quando la pioggia la lava, si sporca.","Giuseppe Genna"
Limestone,"L'architettura è il gioco sapiente, corretto e magnifico dei volumi raggruppati sotto la luce.","Le Corbusier"
Liquid paper,"Un colpo di bianchetto e io sparisco, come tutti gli errori.","Alessandro D'Avenia"
Livestock,"Volete fare il giornalista? E perché non fate piuttosto il porcaro? È un mestiere molto più pulito.","Sarah Bernhardt"
Lizard,"Un rettile può cambiar pelle ma non cambia il cuore.","Afterhours (band di rock)"
Locomotive,"E corre corre corre, corre la locomotiva: è simile al vapore, e sembra quasi cosa viva...","Francesco Guccini"
Love,"Ama e fa' ciò che vuoi","Agostino d'Ippona"
Love,"C'è tutta una vita in un'ora d'amore.","Honoré de Balzac"
Love,"Il sacro vischio a mietere Norma verrà?","Norma (Opera di Bellini)"
Lust,"Bambini? Preferisco cominciarne cento che finirne uno.","Paolina Bonaparte"
Lust,"Ciò che per gli uomini è un peccato, per il diavolo è un motivo di risa.","M. Gorkij"
Lust,"Ho il culto delle gioie semplici. Esse sono l'ultimo rifugio di uno spirito complesso.","Oscar Wilde"
Lust,"La lussuria genera la lascivia, la lascivia la crudeltà.","F.Dostoevskij"
Lust,"La predicazione della castità è istigazione pubblica alla contronatura.","F.Nietzsche"
Mace,"Si ottiene di più con una parola gentile e una pistola che solo con una parola gentile.","Al Capone"
Magic,"Gli farò un'offerta che non potrà rifiutare.","Don Corleone"
Magic,"Il processo di una scoperta scientifica è, in effetti, un continuo conflitto di meraviglie.","Albert Einstein"
Magic,"L'arte è una gran maga!","A.Daudet"
Magic,"Le streghe hanno smesso di esistere quando noi abbiamo smesso di bruciarle.","Voltaire"
Magic,"Ogni tecnologia sufficientemente avanzata è indistinguibile dalla magia.","Arthur C. Clarke"
Magic,"Quanto durerà la magia?","Stephen King"
Man,"Gran parte degli uomini sono talmente orribili, meritano che se ne cavi tutto quanto si può!","Marilyn Monroe"
Man,"L'uomo è l'unica creatura che rifiuti di essere quello che è.","Albert Camus"
Man,"L'uomo non vive di pensieri, ma di un desiderio che non è meditato.","Maksim Gorkiy"
Manure,"Il denaro è come il letame che non serve se non è sparso.","F.Bacone"
Map,"L'opera che perdura è sempre capace di un'infinita e plastica ambiguità; è tutto per tutti [...]; è uno specchio che svela tratti del lettore ed è insieme una mappa del mondo.","Jorge Luis Borges"
Maze,"Chi entra in un labirinto sa che esiste una via d'uscita.","N.Bobbio"
Maze,"Quando ti addentri nel labirinto che sta fuori di te, finisci col penetrare anche nel tuo labirinto interiore.","Haruki Murakami"
Maze,"Se noi cerchiamo qualcosa, il labirinto è il posto più adatto alla ricerca.","O.Welles"
Meat,"Alimenti vegetali invece che animali sono la chiave della rigenerazione.","R.Wagner"
Meat,"Chi si astiene dal mangiare la carne martoriata degli animali uccisi avrà lo spirito santo e la verità.","Zoroastro"
Meat,"Non mangiare carne è una decisione, mangiarla è un istinto.","Denis Leary"
Meat,"Per la mia esperienza io non ho alcun dubbio che fa parte del progresso umano arrivare a smettere di nutrirsi di carne.","H.Toreau"
Mechanism,"Il desiderio è irrilevante, io sono una macchina!","""Terminator-2"" (film)"
Mechanism,"L'umorismo è il più eminente meccanismo di difesa.","Sigmund Freud"
Mechanism,"Una casa è una macchina per abitare.","Le Corbusier"
Medicine,"Della medicina, tutto si può dire tranne che sia una scienza esatta.","Rosario Magrì"
Medicine,"utte le scoperte della medicina si possono ricondurre alla breve formula: l'acqua bevuta moderatamente, non è nociva.","Mark Twain"
Memory card,"Puoi fare tutte le foto che vuoi, tanto ho tolto la scheda di memoria.","Sconosciuto"
Merchants,"Nelle notti più limpide, quando i venti ... erano calmi e tranquilli, le grandi navi dei mercanti ... si sentivano al sicuro.","Il pianeta del tesoro"
Metal,"La luna, rana d'oro del cielo.","Sergej Esenin"
Metal,"Un prestigiatore che inserendo del metallo nella vostra bocca estrae delle monete dal vostro portafoglio.","A.Bierce"
Microchip,"... e un giorno la Gillette annuncerà lo sviluppo di un rasoio che, grazie a un microchip, ti permetterà di viaggiare avanti nel tempo e per tagliare peli che non esistono ancora.","Dave Barry"
Microprocessor,"Da 50000 anni, da prima di inventare il fuoco, la ruota, e ora anche i microprocessori, l'umanità ha cercato in ogni modo di rendersi completamente e totalmente ridondante.","Sconosciuto"
Microwave oven,"Poi mi accorgo che tu ti stai librando leggiadramente nell'aria come un gheppio in spirito santo, mentre io annaspo come una trota tenuta artificialmente in vita in un microonde acceso.","Gianluca Bedini"
Milk,"Amici, badate che anche i servi sono uomini e hanno bevuto lo stesso latte, come noi, e non vuol dire nulla se poi mala sorte li colse.","Petronio Arbitro"
Milk,"Non c'è, per nessuna comunità, investimento migliore del metter latte dentro ai bambini.","Winston Churchill"
Missile,"Se è il tuo destino, l'amore ti scoverà come un missile Cruiser.","Lynda Barry"
Missile,"Vorrei un missile speciale per poterlo caricare e lanciar nell'universo tutto quello che detesto.","Nek"
Mithril,"Conosco la metà di voi soltanto a metà; e nutro, per meno della metà di voi, metà dell'affetto che meritate.","Bilbo Baggins"
Mithril,"Non dirò:""Non piangete"", perché non tutte le lacrime sono un male.","Gandalf"
Modesty,"Falsa modestia... Ma se la modestia è sempre falsa!","Dino Segre"
Modesty,"La modestia e l'altruismo sono qualità che gli uomini dichiarano ma non praticano.","A.Maurois"
Modesty,"La modestia è una forma raffinata di vanità. È una menzogna.","J. de La Bruyère"
Modesty,"La modestia non può essere detta una virtù, perché assomiglia più a una sofferenza che a una qualità.","Aristotele"
Modron,"Bestemmiarono, e peggio, usarono i logaritmi.","T.Pratchett"
Modron,"La matematica è più di una forma d'arte.","Kowa Seki"
Modron,"Non capisce come funzionano i numeri romani. Credeva che avessimo appena combattuto l'undicesima guerra mondiale.","Joan Rivers"
Modular space station,"Non ha senso rottamare la Mir prima che sia pronta la Stazione Spaziale Internazionale.","Vladimir Putin"
Molotov cocktail,"Cosa dovrebbero fare i giovani come noi? Tirare bombe molotov oppure stare tranquilli(...)?","E.Sottsass"
Molotov cocktail,"La guerra non si fa con le bombe, nelle piazze o lanciando le molotov; si fa nei supermercati!","R.Mattioli"
Money,"Al giorno d'oggi i giovani immaginano che i soldi siano tutto, e quando diventano vecchi scoprono che è così.","Oscar Wilde"
Money,"Ci sono due casi in cui l'uomo non deve speculare in borsa: quando non ha i soldi e quando i soldi li ha.","M.Twain"
Money,"Ci sono due casi in cui l'uomo non deve speculare in borsa: quando non ha i soldi e quando i soldi li ha.","Mark Twain"
Money,"Denaro e conoscenze: mai sottovalutarli!","R.Matsuura"
Money,"Fate soldi, se potete in maniera onesta, se no comunque.","Orazio"
Money,"L'amore pretende di parificare, ma il denaro riesce a differenziare.","A.Busi"
Monopoly,"I vicoli. Nessuno sano di mente vi entrerebbe durante il giorno. Di notte anche i pazzi li temono. Chi gioca a Monopoli, poi, cerca sempre di sbolognarli al più fesso del tavolo.","Rat-Man"
Moon lander,"Io ho messo un gatto nero sopra uno specchio rotto sotto la scala del modulo lunare e devo dire che non abbiamo avuto alcun problema.","Apollo 13"
Moss,"I sussurranti pini e i grandi abeti vestiti di verde e pieni di muschio si levano nel crepuscolo come i druidi di una volta...","B.Smith"
Moss,"la felce che pende, il muschio che beve, la via tutta aperta nell'aria, alla luce...","G.Fanciulli"
Mountain,"Il Signore chiama ad una montagna molto particolare. Una montagna che cresce secondo le sue parole.","Catherine Doherty"
Mountain,"In montagna chi sta diritto e si espone al vento cade; chi invece si stende a terra non viene travolto. Nelle tentazioni ci vuole umiltà.","Giuseppe Marello"
MP3 player,"La vita non è un lettore MP3 dove puoi sentire quel che vuoi, ma è una radio dove devi arrangiarti con quello che ti viene mandato.","Sconosciuto"
MS-DOS,"MS-DOS non è morto, quello è il suo odore naturale.","Henry Spencer"
Mummy,"Sebbene il rito della mummificazione sia comunemente associato all’antico Egitto, perché le mummie egizie sono note sin dai tempi antichi, le mummie più antiche sono quelle sudamericane del popolo Chinchorro, che abitava sulle Ande.",""
Murder,"Accusare un uomo di omicidio quaggiù era come fare contravvenzioni per eccesso di velocità alla 500 Miglia di Indianapolis.","""Apocalypse Now"" (film)"
Murder,"L'assassino è sempre uno stupido.","Andrea Riccardi"
Murder,"L'assassino ottiene un vantaggio per la sua propria vita.","F.de Roberto"
Murder,"Morte... è l'unica cosa che non siamo riusciti a volgarizzare del tutto.","Aldos Huxley"
Mushroom,"È una dimora a forma di boschetto circolare\nAccanto ad una collina,\nDove i rami raccontano\nStrane leggende sul Male.","Funghi da Yuggoth"
Mushroom,"Questa è l'ora in cui il lunatico poeta sa\nQuali funghi spuntano a Yuggoth...","H. P. Lovecraft"
Mushroom,"Questa è l'ora in cui il lunatico poeta sa\nQuali funghi spuntano a Yuggoth…","H. P. Lovecraft"
Music,"La musica ha una fondamentale componente spirituale.","U.Ughi"
Music,"La musica, intesa come espressione del mondo, è una lingua universale al massimo grado.","A.Shopenghauer"
Necromancer,"C'è un occhio nella mia zuppa.","La sposa cadavere (film)"
Necromancer,"Doveva, innanzi tutto, far bollire in acqua abbondante la carne fibrosa di mummia, col suo condimento cerimoniale.","B.Vian"
Necromancer,"Se un uomo o una donna sono negromanti o indovini dovranno essere messi a morte; saranno lapidati; il loro sangue ricadrà su di loro.","Levitico 20:27"
Necromancer,"Verra la morte e avra i tuoi occhi.","C. Pavese"
Needle and thread,"Se l'ago non passa, il filo non lo segue.","Proverbio africano"
Neon,"Il rock si accompagna alle luci al neon, all'illuminazione artificiale mentre il reggae non ha bisogno di una discoteca o di un club, può essere ovunque, meglio tra le colline.","Bob Marley"
Neon lamp,"Nei viali e nelle piazze le falene sbattevano fino a morire contro le luci al neon.","William Gibson"
Nile,"Il Nilo è l’unico grande fiume nell’Africa Settentrionale, una fonte di vita in un deserto senza acqua. Fu nella valle del Nilo che si svilupparono tutte le città degli antichi Egizi, e dove a tutt’oggi vive la quasi totalità degli Egiziani.",""
Nuclear bomb,"Cominciano con le macchine da cucire e finiscono con la bomba atomica.","M.Pagnol"
Nuclear bomb,"Non capisco bene perché gli uomini che credono agli elettroni si considerino meno creduli degli uomini che credono agli angeli.","Bernard Shaw"
Nuclear bomb,"Uccidi un uomo e sei un assassino. Uccidine milioni e sei un conquistatore. Uccidili tutti e sei Dio.","Jean Rostand"
Nuclear bomb,"Un uomo di genio non commette errori: i suoi sbagli sono l'anticamera della scoperta.","James Joyce"
Nuclear power reactor,"Noi nucleari proponiamo un patto col diavolo: possiamo fornire energia a condizione che le società future assicurino una stabilità politica e istituzioni quali mai si sono avute finora.","Alvin Weinberg"
Octopus,"La muert du pulp iè la c'podd (la morte del polpo è la cipolla).","Proverbio pugliese"
Octopus,"Lu purpu se coce cu l'acqua sua stessa (il polpo si cuoce con la sua stessa acqua).","Proverbio salentino"
Oil,"La cultura è il petrolio d'Italia.","G. De Michelis"
Oil,"La liberazione della donna è un sottoprodotto del petrolio…","Piero Angela"
Oil,"La ricchezza del Medio Oriente non è il petrolio ma il suo tessuto religioso, la sua anima intrisa di fede, il suo essere «terra santa»","A.Santora"
Oil,"Vendere il sole per comprar petrolio.","Proverbio"
Orc,"Avvampando gli angeli caddero; profondo il tuono riempì le loro rive, bruciando con i roghi dell'Orco.","Blade Runner (film)"
Orc,"Melkor generò l'orrenda razza degli Orchi che sono un atto d'invidia e di scherno verso gli Elfi...","Silmarillion"
Order,"Anarchia non significa «senza ordine»; significa «senza capi».","V per Vendetta (film)"
Order,"Diffidate di chi viene a mettere ordine.","Denis Diderot"
Order,"Il caos è un nome per ogni ordine che causa confusione nelle nostre menti.","G.Santayana"
Order,"Questo regno cadrà, e dalle sue ceneri sorgerà un nuovo ordine che scuoterà le fondamenta... del mondo!","Arthas (""Warcfaft"")"
Order,"Se introduci un po' di anarchia...","Joker"
Oysters,"Molte sono le ostriche, ma le perle sono rare.","Orson Welles"
Paladin,"L'onore non si può togliere, si può solo perdere.","Anton Čechov"
Paladin,"Non serve una mostrina per essere un uomo d'onore.","Codice d'onore (film)"
Paladin,"Un paladino, un cavaliere senza macchia...","Il cavaliere oscuro (film)"
Palm,"Cioccolato, cocco, limone, fragola, vaniglia: i classici erano la sua passione.","K.Jacobs"
Paper,"Bisogna il più possibile scrivere come si parla.","Ch.Saint-Beuve"
Paper,"Bisogna prendere speciali precauzioni contro la malattia dello scrivere, perché è un male pericoloso e contagioso.","P.Abelardo"
Paper,"Gli strumenti del mestiere del matematico sono carta e penna.","Ian Stewart"
Paper,"Qualcuno ci sorveglia mentre scriviamo. La madre. Il maestro. Shakespeare. Dio.","Martin Amis"
Papyrus,"Gli Egizi inventarono i papiri 4000 anni fa. Essi restarono l’unica superficie su cui scrivere per quasi duemila e cinquecento anni.",""
Parking meter,"Io sono il parchimetro che finisce mentre siete ancora nel negozio.","Darkwing Duck"
Party,"La ricerca è per definizione movimento: ciò che era vero ieri non lo è più oggi, e sarà ancora modificato domani.","P.Angela"
Party,"La ricerca porta alla verità.","Socrate"
Personal computer,"Il computer non è una macchina intelligente che aiuta le persone stupide, anzi è una macchina stupida che funziona solo nelle mani delle persone intelligenti.","Umberto Eco"
Pharaon,"Per gli antichi Egizi il Faraone era figlio di Ra, il dio del Sole. Erano obbligati a provvedere alle sue necessità e a proteggerlo ad ogni costo. Se non fossero stati in grado di farlo, gli dei avrebbero colpito l’Egitto con delle terribili catastrofi.",""
Philosophers stone,"Chi promette di cibarti di immortalità, ti inganna con vane parole.","Wú Chéng'ēn"
Philosophers stone,"La prima condizione dell'immortalità è la morte.","S.J.Lec"
Philosophers stone,"L'immortalità è lavorare ad un compito eterno.","E.Renan"
Philosophers stone present,"Chi promette di cibarti di immortalità, ti inganna con vane parole.","Wú Chéng'ēn"
Philosophers stone present,"La prima condizione dell'immortalità è la morte.","S.J.Lec"
Philosophers stone present,"L'immortalità è lavorare ad un compito eterno.","E.Renan"
Phoenix,"E' più raro che fenice chi in tutto sia felice.","Proverbio"
Phoenix,"Esultano invece gallo, fenice, cigno reale, cigno, aquila, lince, ariete e leone.","G.Bruno"
Phoenix,"Lo studio dei ritratti di famiglia è sufficiente per convertire un uomo alla dottrina della reincarnazione.","A.C.Doyle"
Phone,"Un essere metafisico in genere non si mette in contatto con noi per telefono.","Carl Gustav Jung"
Photo,"A cosa serve una grande profondità di campo se non c'è un'adeguata profondità di sentimento?","Eugene Smith"
Photocopier,"Con la nevrosi da fotocopia c'è il rischio che si perdano giornate in biblioteca a fotocopiare libri che poi non vengono letti.","Umberto Eco"
Pie,"1 C'e una pozione che ti fa rimpicciolire, 2 E una torta che ti fa ingrandire.","Alice"
Pie,"Capisci che stai invecchiando quando le candeline costano più della torta.","Bob Hope"
Pirate,"È curioso l'unico modo rimasto ad un pirata di ricavare un profitto sembra sia tradire altri pirati.","Pirati dei Caribi (film)"
Pirate,"Io sono un principe libero e ho altrettanta autorità di fare guerra al mondo intero.","S.Bellamy, pirata britannico"
Pirate,"Quando cambia il vento, innalzano la bandiera pirata.","R.A.Heinlein"
Pirates,"Anche i pirati, prima di attaccare un'altra nave, issano una bandiera nera.","Bela Kiraly"
Pirates,"Dammi il tuo oro, se ne hai;\nPerché l'ho acquistato con cento colpi.","William Shakespeare, Enrico VI, Parte III"
Plankton,"Il pesce piccolo rende l'intero corpo dell'uomo fecondo e vigoroso.","Talmud"
Plankton,"Questo è il mio pesciolino numero 641 in una vita costellata di pesciolini rossi.","Ch. Palahniuk"
Plasma,"I pezzi degli scacchi sono l'alfabeto che plasma i pensieri; e questi pensieri esprimono la bellezza astrattamente.","Marcel Duchamp"
Plasma,"Io magnifico Dio, il Divino Fuoco, il sacerdote, Ministro del sacrificio.","Rig Veda"
Plasma,"Lo spirito è in parte congenito, in parte si plasma.","E.Jong"
Plasma TV,"Immagina una magnifica, enorme TV al plasma. Non sarebbe stupendo poterla montare al muro con la wireless?","Modest Oprysko"
Plutonium,"Lo Stato è quindi costretto a proteggere gli impianti atomici con misure di sicurezza sempre più rigorose.","Robert Jungk"
Plutonium,"Noi nucleari proponiamo un patto col diavolo...","Alvin Weinberg"
Plutonium,"Uno Stato atomico non può che trasformarsi in un super Stato poliziesco.","Robert Jungk"
Poison,"Aspettati veleno dall'acqua stagnante.","W.Blake"
Poison,"Di tutti i veleni l'anima è il più forte.","Novalis"
Poison,"La gloria è un veleno che bisogna prendere a piccole dosi.","Honoré de Balzac"
Poison,"Nulla è di per sé veleno, tutto è di per sé veleno, è la dose che fa il veleno.","Paracelso"
Poison,"Tè e veleno.","P.Quentin"
Poisoned weapon,"Che la tua lingua non preceda la tua mente.","Chilone"
Poisoned weapon,"La lingua può impiccare l'uomo più veloce di una corda.","Proverbio navajo"
Polaroid,"Perché ci vogliono due giorni prima che una polaroid di John Major appaia?","Barry Cryer"
Policeman,"Lo scandalo comincia quando la polizia vi mette fine.","K.Kraus"
Policeman,"Non sono contro la polizia; ne ho solo paura.","A.Hitchcock"
Policeman,"poliziotti non dicono mai addio. Sperano sempre di rivederti fra gli indiziati.","Raymond Chandler"
Potion,"Beverei prima il veleno che un bicchier che fosse pieno dell'amaro e reo caffè.","Francesco Redi"
Potion,"Shrek e io abbiamo bevuto una pozione magica e ora... siamo sexy.","Ciuchino"
Potion,"Un genio come Silente non può farsi imbrogliare da un trucco patetico, scemo, balordo come la pozione invecchiante!","Hermione"
Pottery,"Questa argilla, ben mescolata con marna e sabbia,\nSegue i movimenti della mia mano;\nPerché qualcuno deve seguire, e qualcuno comandare,\nSebbene tutti siano di argilla!","Henry Wadsworth Longfellow"
Prayer,"Ah ma «non so, chi se ne frega, non importa» sarà l'estrema preghiera umana.","Jack Kerouac"
Prayer,"Il frutto del silenzio è la preghiera.","Teresa de Calcutta"
Prayer,"La breve orazione è quella che sale al cielo.","Proverbio"
Prayer,"Pregare è pensare al senso della vita.","Ludwig Wittgenstein"
Pride,"Chi troppo in alto sal cade sovente precipitevolissimevolmente.","L. Ariosto"
Pride,"Il silenzio è la più perfetta espressione del disprezzo.","Bernard Shaw"
Pride,"La buona educazione consiste nel nascondere quanto bene pensiamo di noi stessi e quanto male degli altri.","Mark Twain"
Pride,"L'orgoglio annienta ogni cosa.","Teresa de Calcutta"
Pride,"L'orgoglio è del cervello, non del cuore.","E.Jong"
Pride,"L'orgoglio, l'immancabile vizio degli stupidi.","A.Pope"
Priest,"Cent'anni senza prete e la gente finirà per adorare gli animali.","G.M.Vianney"
Priest,"E con le budella dell'ultimo prete stringeremo la gola all'ultimo re.","Sylvain Maréchal)"
Princess,"La bellezza appare come il primo bene del principe, il suo più imponenete diritto.","R.M.Rilke"
Princess,"Piacere ai prìncipi non è per gli uomini piccola lode.","Quinto Orazio Flacco"
Princess,"Un principe è il primo servitore ed il primo magistrato dello Stato.","Federico II di Prussia"
Puzzle,"Si può guardare il pezzo di un puzzle per tre giorni di seguito senza aver fatto il minimo passo avanti.","Georges Perec"
Quest,"Una vita senza ricerca non è degna per l'uomo di essere vissuta.","Platone"
Quicksilver,"Ciò che è sotto è identico a ciò che è sopra e ciò che è sopra è identico a ciò che è sotto...","Mercurio Tremassimo"
Quicksilver,"La verità è senza menzogna, è certa è autentica.","Mercurio Tremassimo"
Ra,"La divinità principale degli antichi Egizi. Il suo nome significa 'Sole'.",""
Radar,"Cos'è tutto questo gorgogliare e ribollire? Questo voi lo chiamate schermo radar?","Balle spaziali"
Radar,"L'occhio non vede cose ma figure di cose che significano altre cose.","Italo Calvino"
Radiation,"...questo permette di penetrare le meraviglie dell'unità.","Mercurio Tremassimo"
Radiation,"Il dividuo è individuo, l'atomo è immenso.","G.Bruno"
Radiation,"L'essenziale è invisibile agli occhi.","Antoine de Saint-Exupéry"
Radiation,"Non c'è malvagità nell'atomo: solo nelle anime degli uomini.","A.E.Stevenson"
Radiation,"Se continui a dire che le cose vanno male, hai buone probabilità di diventare un profeta.","Isaac Bashevis Singer"
Radio telescope,"Il radiotelescopio che abbiamo utilizzato, il VLBA, può misurare distanze con precisione mai vista; addirittura 100 volte migliore di quanto non fosse possibile in passato.","Mark Reid"
Radiowave,"La radio, come qualunque altro medium, ha un suo manto che la rende invisibile.","M.McLuhan"
Radiowave,"Qualcuno dice che io sono pessimista nei confronti della radio... La verità è che ho previsto la sua completa sparizione.","H. G. Wells"
Radiowave,"Vedete, il telegrafo a filo è un tipo molto, molto lungo di gatto.","A.Einstein"
Raft,"Se avessi una zattera, mi divertirei un mondo.","Michael Palmer"
Rat,"Cawabanga!","Splinter"
Rat,"Non scriverò mai storie su Topolino, non c'è speranza. Non provo niente per il personaggio non ha personalità","Don Rosa"
Rat,"Penso... Che dovresti sederti.","Splinter"
Reed,"Il potere politico nasce dalla canna del fucile.","M.Tse-Tung"
Reed,"L'uomo è solo una canna. La più fragile della natura, ma una canna che pensa.","A.Accatino"
Religion,"C'è una sola religione, benché ne esistano un centinaio di versioni.","Bernard Shaw"
Religion,"Considero la religione come un giocattolo per bambini, e ritengo che il solo peccato sia l'ignoranza.","C.Marlowe"
Religion,"Dio aveva fatto soltanto l'acqua, ma l'uomo ha fatto il vino!","Victor Hugo"
Religion,"Sono spesso più religioso in un giorno di sole.","George Gordon Byron"
Resurrection,"Come un individuo getta degli abiti logori per indossare nuovi vestiti, così l'anima incarnata abbandona le dimore corporee rovinate per entrare in altre nuove.",""
Resurrection,"Corpo e anima, o saranno due mani giunte in eterna adorazione, o due polsi ammanettati per una cattività eterna.","Charles Péguy"
