3D holography,"Yo juego en un mundo de tres dimensiones, mientras que los demás se han quedado en un medio con solo dos.","Bill Gates"
MS-DOS,"Tu ironía no es compatible con mi sistema operativo.","Anónimo"
Mummy,"Aunque el ritual de la momificación suele asociarse al antiguo Egipto, puesto que las momias egipcias eran muy conocidas incluso en la antigüedad, las momias más antiguas son las del pueblo sudamericano de Chinchorro, que vivió en los Andes.",""
Murder,"Acá hay tres clases de gente: las que se matan trabajando, las que deberían trabajar y las que tendrían que matarse.","Mario Benedetti"
Murder,"Decís que las serpientes, panteras y leones son crueles, y, sin embargo, asesináis también sin compasión; y en crueldad no dejáis atrás a las fieras: Éstas matan por la necesidad de alimentarse, mientras que vosotros matáis por vicio.","Plutarco"
Murder,"El asesinato es la forma extrema de la censura.","Bernard Shaw"
Mushroom,"...el coronel experimentó la sensación de nacían hongos y lirios venenosos en sus tripas.","Marquez"
Mushroom,"¿Un lado de qué? ¿El otro lado de qué?","Alicia"
Mushroom,"¿Un lado de qué? ¿El otro lado de qué?","L.Carroll"
Mushroom,"La intoxicación con peyote (o setas) crea una peculiar conciencia vegetal o identificación con la planta.","El almuerzo desnudo"
Mushroom,"Si ellos pueden hacer penicilina de pan con moho, seguro que puede hacer algo de ti.","Muhammad Ali"
Music,"Creo que es posible vivir sin música, aunque no sería agradable.","Brian Molko"
Music,"El arte de la música es el que más cercano se halla de las lágrimas y los recuerdos.","Oscar Wilde"
Necromancer,"Aquel que tú crees que ha muerto, no ha hecho más que adelantarse en el camino.","Séneca"
Necromancer,"Confieso que enterrar a algunas gentes constituye un gran placer.","Antón Chéjov"
Necromancer,"La muerte de una mujer hermosa es, sin duda el tema más poético del mundo.","E.A.Poe"
Necromancer,"La muerte de una mujer hermosa es, sin duda el tema más poético del mundo.","Edgar Poe"
Needle and thread,"El miedo es la aguja que penetra en nuestra piel para enhebrar el hilo que nos une al cielo.","James Hastings"
Neon,"¡No es un láser! ¡Es una bombillita que parpadea!","Woody (Toy Story)"
Neon lamp,"La luz de neón del barrio sabe que estoy tan cansada.","Ricardo Arjona"
Nile,"El Nilo es el único río del norte de África, una fuente de vida en un desierto estéril. En el valle del río Nilo era donde se encontraban todas las ciudades del antiguo Egipto, además de ser el lugar en el que habita la mayoría de los egipcios actuales.",""
Nuclear bomb,"Ahora, me he convertido en la muerte, el destructor de mundos.","Vishnu"
Nuclear bomb,"Las ciencias tienen las raíces amargas, pero muy dulces los frutos.","Aristóteles"
Nuclear bomb,"Si no acabamos con la guerra, la guerra acabará con nosotros.","B. O' Higgins"
Nuclear power reactor,"La televisión se nos aparece como algo semejante a la energía nuclear. Ambas solo pueden canalizarse a base de claras decisiones culturales y morales.","Umberto Eco"
Octopus,"Lo que para unos es comida, para otros es amargo veneno.","Lucrecio"
Octopus,"Más complicado que calzón de pulpo...","Proverbio"
Oil,"Es el oro negro.",""
Oil,"La Democracia es el subproducto más refinado del petróleo.","Vicente Solana Ortiz"
Oil,"La Edad de Piedra no terminó por falta de piedras y la Era del Petróleo no terminará por la falta de crudo.","Ahmed Zaki Yamani"
Orc,"Los orcos son orcos y par lo único que sirven es para fertilizar los campos.","Drizzt Do’Urden"
Orc,"Orcus u Orco era, en la mitología romana, uno de los demonios del inframundo, encargado de castigar los juramentos rotos.","Wiki"
Order,"Dios no juega a los dados con el universo.","Albert Einstein"
Order,"El caos siempre derrota al orden porque está mejor organizado.","T.Pratchett"
Order,"El orden social a cambio de libertad es un mal trato.","Marqués de Sade"
Order,"Lo bonito de la profesión de actor es que no existe ningún orden en el tiempo o la edad.","Michel de Montaigne"
Order,"Un diccionario es un universo en orden alfabético.","Anatole France"
Oysters,"Los campeones de las finanzas son como las perlas de un collar: cuando una de ellas cae, las otras le siguen.","Henrik Johan Ibsen"
Paladin,"¡TODOS los días son día de juicio!","Frases Típicas de un Paladín"
Paladin,"¡Y ahora, juicio!","Frases Típicas de un Paladín"
Palm,"Mi corazón es una playa triste, y tú eres una ola que viene y que se va.","José Angel Buesa"
Palm,"Tu corazón es igual que una playa, que, pudiendo ser tierra, nunca llega a ser mar.","José Angel Buesa"
Paper,"La cosa más espantosa, es una hoja de papel en blanco.","Ernest Hemingway"
Paper,"La poesía está por todas partes, pero llevarla al papel es, por desgracia, más complicado que verla.","Vincent Van Gogh"
Paper,"Las cartas no son más que un trozo de papel. Aunque se quemen, en el corazón siempre queda lo que tiene que quedar.","H.Murakami"
Paper,"Si te dan un papel pautado, escribe por detrás.","Juan Ramón Jiménez"
Papyrus,"Los egipcios inventaron el papiro hace cuatro mil años. Durante dos mil quinientos años, el papiro fue la única superficie sobre la que se podía escribir.",""
Parking meter,"Cuando me aburro me gusta irme a un barrio céntrico, ocupar un excelente lugar de aparcamiento y contar cuántas personas me preguntan si me voy a ir.","Steven Wright"
Party,"Donde no falta voluntad siempre hay un camino.","J.R.R.Tolkien"
Party,"Escoge, aventurero desconocido: golpea la campana y sométete a la aventura, o pregúntate hasta la locura qué hubiese entonces acontecido.",""
Personal computer,"Dudo que el ordenador llegue algún día a igualar la intuición y capacidad creativa del sobresaliente intelecto humano.","Isaac Asimov"
Pharaon,"Los antiguos egipcios consideraban que el faraón era hijo de Ra, el dios sol. Estaban obligados a mantener al faraón y protegerlo a toda costa. Si no lo hacían, los dioses destruirían Egipto mediante terribles catástrofes.",""
Philosophers stone,"Cada vida hace su propia imitación de la inmortalidad.","Stephen King"
Philosophers stone,"Desear la inmortalidad es desear la perpetuación de un gran error.","Abraham Lincoln"
Philosophers stone,"No quiero alcanzar la inmortalidad mediante mi trabajo, sino simplemente no muriendo.","Woody Allen"
Philosophers stone present,"Cada vida hace su propia imitación de la inmortalidad.","Stephen King"
Philosophers stone present,"Desear la inmortalidad es desear la perpetuación de un gran error.","Abraham Lincoln"
Philosophers stone present,"No quiero alcanzar la inmortalidad mediante mi trabajo, sino simplemente no muriendo.","Woody Allen"
Phoenix,"En la vida, todo es una metáfora.","H.Murakami"
Phoenix,"Tienes que verte borrado del mapa como ser humano para renacer como individuo.","H.Miller"
Phoenix,"Tienes que verte borrado del mapa como ser humano para renacer como individuo.","Henry Miller"
Phone,"Como invento, el teléfono es extraordinario, pero ¿para qué podrá servir?","Rubén Darío"
Photo,"La fotografía es la verdad. El cine es la verdad 24 veces por segundo.","Jean-Luc Godard"
Photocopier,"La posesión de la fotocopia exime de la lectura.","Umberto Eco"
Pie,"El pan más sabroso y las comodidades más gratas son las que se ganan con el propio sudor.","Honoré De Balzac"
Pie,"El verdadero anfitrión es el que da la cena.","Molière"
Pirate,"No hay atractivo en lo seguro. En el riesgo hay esperanza.","Tácito"
Pirate,"No me hablen de la tradición naval. No es más que ron, sodomía y el látigo.","Atribuido a W.Churchill"
Pirate,"Que es mi barco mi tesoro, que es mi dios la libertad, mi ley, la fuerza y el viento, mi única patria, la mar.","José de Espronceda"
Pirates,"Dadme vuestro oro, si lo poseéis;\nPues lo he comprado con cien golpes.","William Shakespeare, Henry VI, Part III"
Pirates,"Hasta los piratas izan una bandera negra antes de atacar otro barco.","Bela Kiraly"
Plankton,"Otro es hombre de medio cuerpo arriba, y el resto, pez.","Hermann Hesse"
Plankton,"Si das pescado a un hombre hambriento, le nutres una jornada. Si le enseñas a pescar, le nutrirás toda la vida.","Lao-tsé"
Plasma,"¡Artista!, ¡Plasma!, ¡No hables!","Goethe"
Plasma,"Tenemos misiles tacticos inteligentes, armas de plasma, rifles de pulsos, RPG's, tenemos rompepelotas sonico-electrónicos!","Alien, el octavio pasajero"
Plasma TV,"Y muere a todas horas gente dentro de mi televisor; quiero oír alguna canción que no hable de sandeces y que diga que nos sobra el amor, y que empiece en sí, y no en no.","Extremoduro"
Plutonium,"Cuando veo a un adulto en bicicleta, no pierdo las esperanzas por el futuro de la raza humana.","H.Wells"
Plutonium,"El uso de elementos radiactivos como trazadores es probablemente la herramienta más útil para la investigación desde el descubrimiento del microscopio","Joseph G. Hamilton"
Plutonium,"Los elementos radiactivos formaban extrañas y crueles familias...","Ève Curie"
Poison,"Dulces son los usos de la adversidad, los cuales como un sapo, feo y venenoso, portan todavía una preciada joya sobre su cabeza.","W.Shakespeare"
Poison,"El veneno es veneno aunque venga en píldoras doradas...","Erich Fromm"
Poison,"Resiste un ocaso de verde veneno\ny los arcos rotos donde sufre el tiempo.","F.G.Lorca"
Poisoned weapon,"Dios nos ha dado la lengua para que podamos decir cosas amables a nuestros amigos y duras verdades a nuestros enemigos.","Heinrich Heine"
Poisoned weapon,"No le dé armas al mundo, pues la usarán contra usted.","G.Flaubert"
Polaroid,"La memoria no guarda películas: guarda fotografías.","Milan Kundera"
Policeman,"Prefiero los gatos a los perros, porque no hay gatos policía.","Jean Cocteau"
Policeman,"Ver una injusticia y no hacer nada es no tener valor.","Confucio"
Potion,"Afortunados los españoles para los que beber es vivir.","Atribuido a Julio César"
Potion,"Afortunados los españoles para los que beber es vivir.","Julio César"
Potion,"Cuando un perro se está ahogando, todo el mundo le ofrece beber.","George Herbert"
Potion,"Vieja madera para arder, viejo vino para beber, viejos amigos en quien confiar, y viejos autores para leer.","Francis Bacon"
Pottery,"El mismo sol funde la cera y seca la arcilla.","Clemente de Alejandría"
Prayer,"Los ojos no pueden ver bien a Dios, sino a través de lágrimas.","Victor Hugo"
Prayer,"Om mani padme hum.","Mantra budhista"
Prayer,"Om mani padme hum.","Mantra budista"
Pride,"La carga del fracaso, es el peor castigo imaginable.","Warhammer 40.000"
Pride,"Levántate, Señor Pedro Fenris-Bane. Pase lo que pase, nunca olvides limpiar tu espada.","C.Lewis"
Priest,"El filósofo nunca ha matado a ningún sacerdote, mientras que el sacerdote ha causado la muerte de un gran número de filósofos.","Denis Diderot"
Priest,"La religión es sólo una manera de sacarles el diezmo a los ignorantes, sólo existe un Dios, y ése no se enriquece como los curas charlatanes.","John Lennon"
Princess,"El desconfiar de tu capacidad te impedira avanzar y será la causa de tu fracaso.","La princesa que creía en los cuentos de hadas"
Princess,"Qué soledad, la del príncipe sin reino, la del hombre sin calor.","El espinazo del diablo"
Princess,"Una princesa nunca baja su cabeza, su corona podria caer.",""
Puzzle,"El mundo es un rompecabezas cuyas piezas cada uno de nosotros encaja de diferente manera.","David Viscott"
Quest,"Conocerás por experiencia lo salado del pan ajeno, y cuán triste es subir y bajar las escaleras en un piso ajeno.",""
Quest,"Una aventura es, por naturaleza, algo que nos sucede. Es algo que nos escoge a nosotros, no algo que nosotros escogemos.",""
Quicksilver,"Nadie es más solitario que aquél que nunca ha recibido una carta.","Elias Canetti"
Quicksilver,"Un hombre estaba tan enfadado conmigo que terminó su carta diciéndome:""tenga cuidado, usted no saldrá vivo de este mundo"".","John Steinbeck"
Ra,"El principal dios de los egipcios antiguos. Su nombre significa Sol.",""
Radar,"Podrías llevarte el invierno con tu equipaje y también mi radar, para no encontrarte.","Enrique Bunbury"
Radar,"Visión es el arte de ver las cosas invisibles.","Jonathan Swift"
Radiation,"La radio no tiene futuro, los rayos x resultaran una farsa y las maquinas voladoras mas pesadas que el aire son imposibles.",""
Radiation,"La radio no tiene futuro, los rayos x resultaran una farsa y las maquinas voladoras mas pesadas que el aire son imposibles.","William Thompson"
Radiation,"Ningún ejército puede detener la fuerza de una idea cuando llega a tiempo.","V.Hugo"
Radio telescope,"Hemos llamado a Spiderman, pero dice que solo instala antenas parabólicas.","Emilio (Aquí no hay quien viva)"
Radiowave,"Cree en Dios pero también cree que la radio funciona porque tiene personitas dentro.","Woody Allen"
Radiowave,"Cree en Dios pero también cree que la radio funciona porque tiene personitas dentro.","Woody Allen (Refiriéndose a Diane Keaton)"
Radiowave,"Tanta prisa tenemos por hacer, escribir y dejar oír nuestra voz en el silencio de la eternidad, que olvidamos lo único realmente importante: vivir.",""
Raft,"Si tuviera una balsa, me lo pasaría bien.","Michael Palmer"
Rat,"Amo más al ratón Mickey que a cualquier mujer que haya conocido.","Walt Disney"
Rat,"Todos los animales son iguales, pero algunos son más iguales que otros.","George Orwell"
Rat,"Un ratón nunca confía su vida a un único agujero.","Plauto"
Reed,"Como yerba fui, y no me fumaron.","Raúl Gómez Jattin"
Reed,"El hombre es una caña, la más débil de todas, pero una caña que piensa.","Blaise Pascal"
Religion,"Cuando Dios borra, es que va a escribir algo.","Jacques Benigne Bossuet"
Religion,"El hombre encuentra a Dios detrás de cada puerta que la ciencia logra abrir.","Albert Einstein"
Religion,"En las religiones es preciso ser sinceros; verdaderos paganos, verdaderos judíos, verdaderos cristianos.","Blaise Pascal"
Religion,"La religión se basa, a mi juicio, primordial y principalmente en el miedo.","Bertrand Russell"
Resurrection,"La clave para la inmortalidad es principalmente vivir una vida que valga la pena recordar.","Bruce Lee"
Resurrection,"Nuestro Señor ha escrito la promesa de la resurrección, no en los libros, sino en todas las hojas de la primavera.","Martín Lutero"
Resurrection,"Sólo donde hay sepulcros puede haber resurrecciones.","F.Nietzshe"
Robot,"Fry, el hecho de que creas que eres un robot no te convierte en un robot, igual que el hecho de que crea que soy médico no me convierte en médico; lo hace este elegante batín.","Doctor John Zoidberg (Futurama)"
Robot,"Un robot debe obedecer las órdenes dadas por los seres humanos, excepto si estas órdenes entrasen en conflicto con la Primera Ley.","Tres leyes de la robótica"
Robot,"Un robot debe proteger su propia existencia en la medida en que esta protección no entre en conflicto con la Primera o la Segunda Ley.","Tres leyes de la robótica"
Robot,"Un robot no puede hacer daño a un ser humano o, por inacción, permitir que un ser humano sufra daño.","Tres leyes de la robótica"
Rocket,"Antes las distancias eran mayores porque el espacio se mide por el tiempo.","J.L.Borges"
Rocket,"Si quieres viajar hacia las estrellas, no busques compañía.","H.Heine"
Rock-n-roll,"Creo que es posible vivir sin música, aunque no sería agradable.","Brian Molko"
Rock-n-roll,"Los cántaros cuanto más vacíos, más ruido hacen.","Alfonso X el Sabio"
Rock-n-roll,"Vale más vivir y morir de una vez, que no languidecer cada día en nuestra habitación bajo el pretexto de preservarnos.",""
Rogue,"...Mientras jugabas D&D asalté la casa de IP anónima? Ooops, eras tú...","D&D"
Rogue,"Ir un poco lejos es tan malo como no ir todo lo necesario.","Confucio"
Rope,"Que hayas llegado al borde de un acantilado no significa que este sea el fin: busca una cuerda para descender.","John Alexander Tristram"
Rum,"Adonde voy, espero que haya ron.","Jimmy Buffett"
Rum,"No hay nada, sin duda, que calme el espíritu tanto como el ron y la verdadera religión.","Lord Byron"
Rum,"Quince hombres sobre el cofre del muerto.\nRon ron ron la botella de ron.\nLa bebida y el diablo hicieron el resto.\nRon ron ron la botella de ron.","R.L.Stevenson"
Rum present,"Adonde voy, espero que haya ron.","Jimmy Buffett"
Rum present,"No hay nada, sin duda, que calme el espíritu tanto como el ron y la verdadera religión.","Lord Byron"
Rum present,"Quince hombres sobre el cofre del muerto.\nRon ron ron la botella de ron.\nLa bebida y el diablo hicieron el resto.\nRon ron ron la botella de ron.","R.L.Stevenson"
Russian roulette,"Alea jacta est (la suerte está echada).","Julio César"
Russian roulette,"Un hombre que no arriesga nada por sus ideas, o no valen nada sus ideas, o no vale nada el hombre.","Platón"
Sacrifice,"El cristianismo podría ser bueno, si alguien intentara practicarlo.","Bernard Shaw"
Sacrifice present,"He sido toda mi vida una víctima de mis sentidos.","C.Casanova"
Sacrifice present,"La ley del amor y la ley del sacrificio no admiten la separación.","Pedro Albizu Campos"
Sacrifice present,"Las quejas disminuyen el valor del sacrificio.","Giovanni Guareschi"
Sail,"No eres un marino hecho y derecho hasta que hayas navegado a toda vela.","Proverbio irlandés"
Sailing raft,"El aterrador océano del mundo es complicado y terrible; no hay tierra firme a este lado, ni al otro. No hay barca, ni balsa, ni remos, ni barquero.","Gurú Granth Sahib"
Sailing ship,"Combatid con firmeza cerca de las naves, y si cae herido o muerto alguno de vosotros, no os apene.",""
Sailing ship,"Cuando no sabemos a qué puerto nos dirigimos, todos los vientos son desfavorables.","Séneca"
Sailing ship,"Todavía no se ha descubierto la brújula para navegar en la alta mar del matrimonio.","H.Heine"
Salt,"Debe de haber algo extrañamente sagrado en la sal: está en nuestras lágrimas y en el mar.","Khalil Gibran"
Salt,"El mejor olor, el del pan; el mejor sabor, el de la sal.","Graham Greene"
Salt,"Si Sansón no sazona su salsa con sal le sale sosa.","Trabalenguas"
Saltpetre,"Los placeres violentos (...) tienen en su triunfo su propia muerte, del mismo modo en que se consumen el fuego y la polvora en un beso voraz.","W.Shakespeare"
Salvation,"Algunos abandonan el bote salvavidas cuando ven hacia qué costa va.","Valeriu Butulescu"
Salvation,"Las almas grandes se inician por sí mismas. Estas almas se salvan, según el oráculo de Delfos.",""
Salvation,"Siempre hiere Dios a quien es prepara para la eterna salvación.","San Isidoro De Sevilla"
Salvation_lost,"Algunos abandonan el bote salvavidas cuando ven hacia qué costa va.","Valeriu Butulescu"
Salvation_lost,"Las almas grandes se inician por sí mismas. Estas almas se salvan, según el oráculo de Delfos.",""
Salvation_lost,"Siempre hiere Dios a quien es prepara para la eterna salvación.","San Isidoro De Sevilla"
Sand,"He limpiado la arena\ncon mis lágrimas saladas\nBuscando la costa todos estos años.","Sinead O’Connor"
Sand,"La vida está compuesta de insignificancias; el año de instantes y las montañas de granos de arena.","Lin Yutang"
Sarcophagus,"Los sarcófagos del antiguo Egipto estaban hechos de madera, con revestimiento de bronce o láminas de oro. El sarcófago de Tutankamón estaba hecho de oro macizo y contenía una momia con una máscara dorada que representaba al faraón.",""
Satellite,"La luna se puede tomar a cucharadas\no como una cápsula cada dos horas.","Jaime Sabines"
Satellite,"Roza el hilo de la caña de pescar la luna en verano.","Kaga no Chiyo"
Satellite,"Todo cabe en lo breve. No es el ojo más que un punto y abarca leguas.","Alexandre Dumas (padre)"
Scarabeus,"Uno de los símbolos más venerados del antiguo Egipto. Del mismo modo en que el sol se desplaza por el cielo desprendiendo calidez y creando las condiciones necesarias para que la vida florezca, el escarabajo hace rodar su pelota con huevos de este a oeste",""
Scientist,"Cuatro cosas no pueden ser escondidas durante largo tiempo: la ciencia, la estupidez, la riqueza y la pobreza.","Averroes"
Scientist,"El genio es un uno por ciento de inspiración, y un noventa y nueve por ciento de transpiración.","Th. Edison"
Scientist,"El que busca la verdad corre el riesgo de encontrarla.","Isabel Allende"
Scientist,"Las grietas del conocimiento científico se rellenan con pasta de ideología.","Jorge Wagensberg"
Scientist,"Toda clase de maestría se paga muy cara en este mundo, donde tal vez todo se paga muy caro.",""
Scorpion,"La magia del momento, es lo que tengo para ti. the scorpions La magia del momento, es lo que tengo para ti.","The Scorpions"
Scorpion,"Sub omni lapide scorpio dormit.",""
Scroll,"Creo que lo que llaman cuentos de hadas es una de las formas más grandes que ha dado la literatura, asociada erróneamente con la niñez.","J.R.R.Tolkien"
Scroll,"Por la pérdida de mis manuscritos he llorado lágrimas teñidas de sangre.","Marqués de Sade"
Scroll,"Uno llega a ser grande por lo que lee y no por lo que escribe.","J.L.Borges"
Sea,"De vuelta del mar está el marinero, de vuelta del monte está el cazador.","R.L.Stevenson"
Sea,"Por la vieja Sonora, la marea va subiendo.","Manu Chao"
Sea,"Quién mira fijamente al mar ya está navegando un poco.","Paul Carvel"
Sea launch,"Soy como ese tipo que hizo un cohete a mano y llegó a la luna... ¿Cómo se llamaba? ¿Buffalo Bill?","Homer J. Simpson"
Sea_lost,"Todos los ríos van al mar, pero el mar no se desborda.","Proverbio chino"
Sebek,"El dios del agua y del flujo del Nilo para los antiguos egipcios se representaba con cabeza de cocodrilo. Se creía que ahuyentaba a las fuerzas de la oscuridad, y era el defensor de dioses y hombres.",""
Secret door,"¿Qué es el arte? Si lo supiera, tendría buen cuidado de no revelarlo.","Pablo Picasso"
Secret door,"De ninguna manera volveré a México. No soporto estar en un país más surrealista que mis pinturas.","Salvador Dalí"
Secret door,"Donde una puerta se cierra, otra se abre.","Cervantes"
Seeds,"El vino siembra poesía en los corazones.","Dante"
Seeds,"Haciendo el bien nutrimos la planta divina de la humanidad; formando la belleza, esparcimos las semillas de lo divino.","Johann Christoph Friedrich Von Schiller"
Seeds,"No juzgues el día por la cosecha que has recogido, sino por las semillas que has plantado.","Robert Louis Stevenson"
Seeds,"Todo lo que nace proviene necesariamente de una causa; pues sin causa nada puede tener origen.","Platón"
Semiconductor,"Uno puede estar a favor de la globalización y en contra de su rumbo actual, lo mismo que se puede estar a favor de la electricidad y contra la silla eléctrica.","Fernando Savater"
Sex,"¿Es sucio el sexo? Sólo cuando se hace bien.","Woody Allen"
Sex,"Dios creó el sexo. Los sacerdotes el matrimonio.","Voltaire"
Sex,"El mal gusto es creativo. Es el dominio de la biología sobre la inteligencia.","Salvador Dalí"
Sex,"El sexo es el consuelo para los que ya no tienen amor.","Gabriel García Márquez"
Sex,"El sexo es una de las nueve razones para la reencarnación... las otras ocho no son importantes.","Henry Miller"
Shadow,"...es natural que piense en mis mayores, ya que tan cerca estoy de su sombra, ya que de algún modo soy ellos.","J.L.Borges"
Shadow,"En este primer amanecer de primavera incluso mi sombra está repleta de vigor.","K.Issa"
Shadow,"Una mirada hacia atrás vale más que una hacia adelante.","Arquímedes de Siracusa"
Shells,"Aproximarse a la playa significa dejar atrás el peligro del mar abierto en favor de la seguridad.","I Ching"
Shells,"Podría estar encerrado en una cáscara de nuez y sentirme rey de un espacio infinito.","W.Shakespeare"
Shells,"Todo lo que recogemos en la playa de la marea baja. Se mueve.","Kaga No Chiyo"
Shelter,"La gente habla de refugio por aquí, refugio por allá... Pero de qué sirve tener una tienda de campaña, si dentro te mueres de hambre y de frío.","David Orr"
Ship,"El romper de una ola no puede explicar todo el mar.","V.Nabokov"
Ship,"No puedo cambiar la dirección del viento, pero sí ajustar mis velas para llegar siempre a mi destino.","Jaime Sabines"
Shopping,"El que compra lo superfluo, pronto tendrá que vender lo necesario.","Benjamin Franklin"
Shopping cart,"Nadie piensa en la muerte en un supermercado.","Ann (Mi vida sin mí)"
Silver,"La plata llama a la plata.","Proverbio argentino"
Silver,"Y la moneda de plata solloza en el bolsillo...","F.G.Lorca"
Sin,"La indignación moral es la envidia con una aureola.","H.G.Wells"
Sin,"La inocencia no es prueba de nada.","Warhammer 40.000"
Sin,"Si se me califica de sensual, se cometerá una equivocación, porque la fuerza de mis sentidos nunca me ha hecho descuidar mis deberes cuando los he tenido.",""
Sin,"Y si soy el mayor de los pecadores, soy también la mayor de las víctimas.","Henry Jekyll"
Sinew,"Con sus tendones de hierro nos aprisiona el hábito día tras día.","Alphonse de Lamartine"
Skin,"Ponte la máscara y las pieles de animales.","Killing Joke"
Skyscraper,"Aunque seas el más alto, ten humildad.","Isidoro de Sevilla"
Skyscraper,"Lo único de lo que el mundo no se cansará nunca es de la exageración.","Salvador Dalí"
Sloth,"Cambiad de placeres, pero no cambiéis de amigos.","Voltaire"
Sloth,"Yendo a mirarlas,\nLas flores del cerezo en la noche\nSe han convertido en fruto.","Yosa Buson"
Sloth,"Yo odio a los lectores ociosos.","F.Nietzshe"
Smartphone,"Dormimos abrazados a pequeños teléfonos móviles, esperando que se iluminen como bengalas en mitad de la noche.","Raúl Ferruz"
Smoke_lost,"No es que diga que mi esposa cocina mal, pero usa un detector de humo como temporizador.","Bob Monkhouse"
Snake,"A nadie se le dio veneno en risa.","Lope de Vega"
Snake,"La justicia es como las serpientes, sólo muerde a los descalzos.","Eduardo Galeano"
Snake,"Las serpientes son malas, pueden morder por placer.","A. de Saint-Exupéry"
Snare,"Espinas y trampas hay en el camino del perverso; el que guarda su vida se alejará de ellos.","La Biblia"
Software,"Hardware es lo que se puede romper; software, lo que solo se puede maldecir.","Anónimo"
Solar cell,"El uso de energía solar no se ha desarrollado porque la industria del petróleo no posee el sol.","Ralph Nader"
Soldier,"A mi juicio, el mejor gobierno es el que deja a la gente más tiempo en paz.","Walt Whitman"
Soldier,"La tierra no tiene sed de la sangre de los soldados, sino del sudor de los hombres.","Proverb"
Soldier,"Más fácil es a los valientes quedar salvos que muertos, mientras los cobardes ni se salvan ni consiguen gloria.",""
Space station,"¡Necesitamos una nave espacial para huir de la bruja!","Bonnie (Toy Story 3)"
Spark,"Creer que un enemigo débil no puede dañarnos es creer que una chispa no puede incendiar el bosque.","Muslih Ud Din Saadi"
Spear,"¡Mi lanza es imparable!","Guerrero samurái"
Spell,"El más poderoso hechizo para ser amado es amar.","Baltasar Gracián"
Spell,"La fantasía no es otra cosa que un modo de memoria emancipado del orden del tiempo","Samuel Taylor Coleridge"
Spell,"Si no hay arrebato, si no hay hechizo, o, mejor, si no hay cierto embelesamiento, no es posible hablar de genio.","Joseph Joubert"
Spellbook,"El libro es una criatura frágil.","U.Eco"
Spellbook,"Escribir es como hacer el amor. No te preocupes por el orgasmo, preocúpate del proceso.","I.Allende"
Spellbook,"Escribir un libro ha de ser como cernir el trigo.","Doménico Cieri Estrada"
Spirit,"Con grande espíritu se deben determinar cosas grandes.","Séneca"
Spirit,"Hay que hacer la enorme y costosa diligencia de adquirirlas con el espíritu, y eso cuesta.","Atahualpa Yupanqui"
Spirit,"La pura lógica es la ruina del espíritu.","A. de Saint-Exupéry"
Spyglass,"Un telescopio aumentará una estrella mil veces, pero un buen agente de prensa puede superar eso.","Fred Allen"
Stainless steel,"¿Qué es el acero comparado con la mano que lo maneja? Fíjate en la fuerza de tu cuerpo. ¡El deseo de tu corazón!","Thulsa Doom (Conan el bárbaro)"
Statue,"La talla de las estatuas disminuye alejándose de ellas; la de los hombres, aproximándose.","Jean-Baptiste Alphonse Karr"
Statue,"Los ojos de las estatuas lloran su inmortalidad.","Ramón Gómez De La Serna"
Steak,"El canibalismo es una de las manifestaciones más evidentes de la ternura.","Salvador Dalí"
Steak,"Matar nos fue prohibido en toda la extensión de la palabra. Fue el hombre quien estableció grados en el delito para poder seguir haciendo la guerra y destruir animales y comerlos.",""
Steak,"Odio la realidad, pero es en el único sitio donde se puede comer un buen filete.","Woody Allen"
Steam,"El mundo es como un vapor en un desierto.","Bahá'u'lláh"
Steam,"La mayor parte de los libros han nacido, realmente, de vapores y humos de las cabezas.","Nietzsche"
Steam,"Si se calienta el agua resulta vapor ¿Cómo sería entonces el super vapor? aunque no lo conocemos, existe.","Maximiliano Hernández Martínez"
Steam,"Sin una organización dirigente la energía de las masas se disiparía, como se disipa el vapor no contenido en una caldera.","L.Trotsky"
Steam-engine,"La aerodinámica es para hombres que no pueden construir motores.","Enzo Ferrari"
Steam-engine,"Las máquinas, siendo por sí incapaces de lucha, han logrado que el hombre luche por ellas.","Samuel Butler"
Steamship,"Hemos convertido las máquinas en dioses, y nos hemos vuelto divinos sirviendo a las máquinas.",""
Stereo,"Hoy en día la fidelidad solo se ve en los equipos de sonido.","Woody (Toy Story)"
Stick,"No sé qué armas se emplearán en la Tercera Guerra Mundial, pero en la Cuarta Guerra Mundial se emplearán palos y piedras.","Albert Einstein"
Stone,"El hombre que mueve una montaña comienza cargando con piedrecitas.","Anónimo"
Stone,"Hamburguesas, la piedra angular de todo nutritivo desayuno.","Pulp Fiction (Tiempos violentos)"
Stone,"Pietro aprieta las piedras de Petra. Si Pietro aprieta las piedras de Petra ¿quién aprieta las piedras de Pietro?","Trabalenguas"
Stone,"Si el cántaro da en la piedra, o la piedra en el cántaro, mal para el cántaro","Proverbio"
Storm,"Entre tormentas ajenas, te das y te recibes a ti mismo.","Gottfried Benn"
Storm,"Los pájaros saben que no hay invierno que dure cien años y que, al pasar la tormenta, la primera semilla que brota es el sol.","Francisco Morales Santos"
Storm,"Qué hermoso después de la tormenta otoñal el pimiento rojo.","Yosa Buson"
Storm_lost,"Tras la tormenta viene la calma.","Matthew Henry"
Sublimation,"Escribir es lo más divertido que se puede hacer sin ayuda.","Terry Pratchett"
Sublimation,"La Física es como el sexo: seguro que da alguna compensación práctica, pero no es por eso por lo que la hacemos.","Richard Feynman"
Sublimation,"Un matemático es una máquina para transformar café en teoremas.","Paul Erdos"
